plante;traitement;talle;spikelet.nb;flowering date
79;T6;BM;12;
79;T6;BM;13;12/04/2021
79;T6;BM;14;12/04/2021
79;T6;BM;15;11/04/2021
79;T6;BM;16;10/04/2021
79;T6;BM;17;10/04/2021
79;T6;BM;18;10/04/2021
79;T6;BM;19;10/04/2021
79;T6;BM;20;09/04/2021
79;T6;T0;;19/04/2021
79;T6;T1;;11/04/2021
79;T6;T2;;12/04/2021
79;T6;T3;;16/04/2021
79;T6;T1.1;;16/04/2021
79;T6;T2.1;;19/04/2021
89;T1;BM;1;10/04/2021
89;T1;BM;2;10/04/2021
89;T1;BM;3;10/04/2021
89;T1;BM;4;10/04/2021
89;T1;BM;5;14/04/2021
89;T1;BM;6;13/04/2021
89;T1;BM;7;11/04/2021
89;T1;BM;8;14/04/2021
89;T1;BM;9;
89;T1;BM;10;08/04/2021
89;T1;BM;11;11/04/2021
89;T1;BM;12;11/04/2021
89;T1;BM;13;10/04/2021
89;T1;BM;14;09/04/2021
89;T1;BM;15;09/04/2021
89;T1;BM;16;08/04/2021
89;T1;BM;17;08/04/2021
89;T1;BM;18;08/04/2021
89;T1;BM;19;08/04/2021
89;T1;BM;20;08/04/2021
89;T1;BM;21;07/04/2021
89;T1;BM;22;08/04/2021
89;T1;T0;;10/04/2021
89;T1;T1;;07/04/2021
89;T1;T2;;09/04/2021
89;T1;T3;;11/04/2021
89;T1;T1.1;;12/04/2021
89;T1;T2.1;;13/04/2021
